Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk10.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk11.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk12.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk1.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk2.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk3.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk4.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk5.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk6.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk7.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk8.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk9.raw.dia
A0A0A6YY91	A0A0A6YY91	A0A0A6YY91_MOUSE	Ncam1	Neural cell adhesion molecule 1 (Fragment)				1901.89	1598.42	1580.13				615.436		
A0A0G2JE55;A0A0G2JGW9;Q0P6B2;Q3TUE1	A0A0G2JE55;A0A0G2JGW9;Q0P6B2;Q3TUE1	A0A0G2JE55_MOUSE;A0A0G2JGW9_MOUSE;Q0P6B2_MOUSE;Q3TUE1_MOUSE	Fubp1	Far upstream element (FUSE) binding protein 1 (Fragment)	279.788			61.3289		302.968				140.324		
A0A0G2JGI9;F8VPN4	A0A0G2JGI9;F8VPN4;F6XXE6	A0A0G2JGI9_MOUSE;F8VPN4_MOUSE	Agl	Glycogen debranching enzyme	2106.96	2665.54		1374.85	2655.34	2049.47	2372.63	1744.74	3844.06	1875.93	3854.27	2093.03
A0A0G2JGS4;E9Q1T1;E9Q1W0;F6RWZ9;Q8C4I3	A0A0G2JGS4;E9Q1T1;E9Q1W0;Q8C4I3;F6RWZ9	A0A0G2JGS4_MOUSE;E9Q1T1_MOUSE;E9Q1W0_MOUSE;F6RWZ9_MOUSE;Q8C4I3_MOUSE	Camk2d	Calcium/calmodulin-dependent protein kinase type II subunit delta				1035.02	1221.93	1212.42	1121.61	839.307		992.958	624.222	324.925
A0A0J9YUE9;A0A0J9YUN4	A0A0J9YUE9;A0A0J9YUN4	A0A0J9YUE9_MOUSE;A0A0J9YUN4_MOUSE	Dnm1	dynamin GTPase	4258.25	2092.77	2069.78	2151.79	2183.35	2683.44	2232.2	3176.25	4723.81	2471.09	1901.3	3627.86
A0A0K2YVD5;A0A0K2YYC5;A0A212PRJ8;G0XUA9;Q0NPP0	A0A0K2YVD5;A0A0K2YYC5;A0A212PRJ8;G0XUA9;Q0NPP0;Q6R010;Q6R012	A0A0K2YVD5_COWPX;A0A0K2YYC5_COWPX;A0A212PRJ8_COWPX;G0XUA9_COWPX;Q0NPP0_COWPX	CPXV_FRA2001_NANCY_191;CPXV_GER91_3_190;gCPXV0030	CPXV219 protein	3304	3042.68				1726.63	2383.59	2680.53	3327.55	1384.59	4060.35	1644.64
A0A0K6FZN3	A0A0K6FZN3	A0A0K6FZN3_9AGAM	RSOLAG22IIIB_09535	NFX1-type zinc finger-containing protein 1 [Mus musculus]				543.722	656.754	291.908				435.459	614.627	
A0A0N4SUN5	A0A0N4SUN5	A0A0N4SUN5_MOUSE	Nrip2	Nuclear receptor interacting protein 2 (Fragment)	891.034	991.254	8452.35	90.5442	551.492	480.53	1091.93	705.493	1990.22	232.348	1913.81	427.383
A0A0N4SVL0	A0A0N4SVL0	A0A0N4SVL0_MOUSE	Eif4g3	Eukaryotic translation initiation factor 4 gamma, 3			1015.03	415.568	473.051	496.688	512.672	562.815		542.212		
A0A0N4SW65;A0A0N4SWC3;A0A0R4J0B4	A0A0R4J0B4;A0A0N4SW65;A0A0N4SWC3	A0A0N4SW65_MOUSE;A0A0N4SWC3_MOUSE;A0A0R4J0B4_MOUSE	Cmas	Cytidine monophospho-N-acetylneuraminic acid synthetase		368.501		419.418	503.675	421.53		469.534	649.149		633.881	
A0A0R4J094	A0A0R4J094	A0A0R4J094_MOUSE	Fahd2a	Fumarylacetoacetate hydrolase domain containing 2A	231.178			112.533		474.03	250.208	566.635			219.872	
A0A0R4J1B4;E9Q5K8;E9Q604;G5E8F1;Q3U1U4	E9Q5K8;A0A0R4J1B4;E9Q604;G5E8F1;Q3TBT0;Q3TD86;Q3U1U4;Q3U1W4;Q3U3F0;Q3U4I5;Q3UJ88	A0A0R4J1B4_MOUSE;E9Q5K8_MOUSE;E9Q604_MOUSE;G5E8F1_MOUSE;Q3U1U4_MOUSE	Gm49368;Itgam	Integrin alpha M				658.246	517.523	450.332	934.452					
A0A0R4J259;G3UXJ6;G3UZ48;G3UZI2	A0A0R4J259;G3UXJ6;G3UY67;G3UYK7;G3UZ48;G3UZI2	A0A0R4J259_MOUSE;G3UXJ6_MOUSE;G3UZ48_MOUSE;G3UZI2_MOUSE	Syncrip	Synaptotagmin binding, cytoplasmic RNA interacting protein	480.632	409.751		292.37	308.435	372.724	586.164	485.469	636.081			339.67
A0A0U1RNF2;A2RTH5	A0A0U1RNF2;A2RTH5	A0A0U1RNF2_MOUSE;A2RTH5_MOUSE	Lcmt1	Leucine carboxyl methyltransferase 1		1024.8		1156.65	1659.79	1405.47	827.028	786.101	844.732	692.199	1680.87	849.134
A0A1L1STR2;E9PV37;Q7TS24	A0A1L1STR2;E9PV37;Q7TS24	A0A1L1STR2_MOUSE;E9PV37_MOUSE;Q7TS24_MOUSE	Olfr250;Or8c10	Olfactory receptor				164.897			408.217			478.171	375.215	
A0A1W2P872	A0A1W2P872	NOVA2_MOUSE	Nova2	RNA-binding protein Nova-2	1585.52			412.606	769.278	503.685	1060.27	1521.72	1362.69	820.987	1272.79	1029.03
A0A1W2P8C0;B6ZHC5;B6ZHC7;Q80UE4;Q80UE5;Q811C0;Q9EPM7;Q9EPM8	A0A1W2P8C0;B6ZHC5;B6ZHC7;Q80UE4;Q80UE5;Q811C0;Q9EPM7;Q9EPM8	A0A1W2P8C0_MOUSE;B6ZHC5_MOUSE;B6ZHC7_MOUSE;Q80UE4_MOUSE;Q80UE5_MOUSE;Q811C0_MOUSE;Q9EPM7_MOUSE;Q9EPM8_MOUSE	Epb41l2	Erythrocyte membrane protein band 4.1 like 2 (Fragment)				538.509	174.305	334.463						
A0A286YCP2;E9Q3G8;Q80WR0	E9Q3G8;A0A286YCP2;Q80WR0	A0A286YCP2_MOUSE;E9Q3G8_MOUSE;Q80WR0_MOUSE	Nup153	Nucleoporin 153 (Fragment)	345.581			251.621								
A0A286YCR9;A0A494B991;A0A494B9N4;A0A494BB44;A0A498WGM0	A0A498WGM0;A0A286YCR9;A0A494B991;A0A494B9N4;A0A494BB44	A0A286YCR9_MOUSE;A0A494B991_MOUSE;A0A494B9N4_MOUSE;A0A494BB44_MOUSE;A0A498WGM0_MOUSE	Syt7	Synaptotagmin VII				440.315	765.991	466.379				221.19		
A0A286YDH6	A0A286YDH6	A0A286YDH6_MOUSE	Cadps	Ca2+-dependent secretion activator				377.799						321.479		
A0A286YDI8;G3X972;Q3V222;Q80U83	G3X972;Q3V222;Q80U83;A0A286YDI8;Q8CGF4;Q8R2V9	A0A286YDI8_MOUSE;G3X972_MOUSE;Q3V222_MOUSE;Q80U83_MOUSE	Sec24c	Sec24 related gene family, member C (S. cerevisiae)	1142.62	787.117	1297.83	1027.42	822.921	1390.93	1311.74	2135.26	1383.71	1400.76	1331.06	1026.06
A0A286YDU3	A0A286YDU3	A0A286YDU3_MOUSE	Ap3s1	AP complex subunit sigma				1058	1084.04	932.648	1099.03	414.997	327.286	970.936		
A0A2R8VHB6	A0A2R8VHB6	A0A2R8VHB6_MOUSE	Epb41l1	Erythrocyte membrane protein band 4.1 like 1 (Fragment)				207.641		220.041						
A0A2R8VHF1;A0A2R8VKG2;A2BI30;D3YZ21;F6ZGR6;Q8BXF0	A0A2R8VHF1;A0A2R8VKG2;A2BI30;D3YZ21;F6ZGR6;Q8BXF0	A0A2R8VHF1_MOUSE;A0A2R8VKG2_MOUSE;A2BI30_MOUSE;D3YZ21_MOUSE;F6ZGR6_MOUSE;Q8BXF0_MOUSE	D430041D05Rik;RP24-297H17.3	RIKEN cDNA D430041D05 gene			3481.47									
A0A2R8VK70;A0A2R8W6P0	A0A2R8W6P0;A0A2R8VK70	A0A2R8VK70_MOUSE;A0A2R8W6P0_MOUSE	Cd47	Leukocyte surface antigen CD47	390.438			2462.17	2996.65	2318.55	1194.21	903.798	920.657	999.276		289.417
A0A338P6R8;A0A338P769	A0A338P6R8;A0A338P769	A0A338P6R8_MOUSE;A0A338P769_MOUSE	Gm49601;Septin5	Septin	2885.88	2558.19	6871.01	5036.86	6403.96	7337.45	7209.65	5222.75	4630.76	6027.9	3765.09	4223.54
A0A411ACY8;Q14BH8	A0A411ACY8;Q14BH8	A0A411ACY8_MOUSE;Q14BH8_MOUSE	Cacna2d1	Voltage-dependent calcium channel alpha2/delta-1 transcript variant 2				404.237	698.816	318.311		256.77		132.995		
A0A411P8U6	A0A411P8U6;Q3UGF3;Q542T4	A0A411P8U6_MOUSE	Mbp	Myelin basic protein (Fragment)	3317.28	3730.42	5719.98	1928	2669.36	3162.47	5502.69	2293.06	3816.61	1599.05	2204.13	2472.06
A0A4E9FSP6	A0A4E9FSP6	A0A4E9FSP6_MOUSE	IGLC2	IgL2 (Fragment)	1382.96	1616.15	5452.8	584.505	1204.61	607.555	1079.05	1621.13	2012.92	644.39	1247.26	849.037
A0A4E9G461	A0A097PUG1;A0A097PUH2;A0A4E9FU10;A0A4E9G461	A0A4E9G461_MOUSE	IGHG2	IgG2 (Fragment)	1205.19		2443.47		902.615				1709.51		511.228	
A0A571BDG0;A0A571BDG6;A0A571BG20;A0A571BG39;B1AQX6;B1AQX7;B1AQX9	A0A571BG39;A0A571BDG0;A0A571BDG6;A0A571BG20;B1AQX6;B1AQX7;B1AQX9	A0A571BDG0_MOUSE;A0A571BDG6_MOUSE;A0A571BG20_MOUSE;A0A571BG39_MOUSE;B1AQX6_MOUSE;B1AQX7_MOUSE;B1AQX9_MOUSE	Srcin1	SRC kinase signaling inhibitor 1	1075.42	1256.14	969.623	1342.6	1335.03	1588.1	1306.15	1516.53	1861.14	1346.05	866.764	1113.49
A0A668KL51;Q91VA7	A0A668KL51;Q91VA7	A0A668KL51_MOUSE;Q91VA7_MOUSE	Idh3b	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	1269.45	1788.95		1594.5	1779.95	1682.51	1018.62	1156.41	917.236	828.505	572.741	642.197
A0A668KLC6;G3UZE9	A0A668KLC6;G3UZE9	A0A668KLC6_MOUSE;G3UZE9_MOUSE	Map2	Microtubule-associated protein	282.903			1721.75	1418.78	1204.67	388.789	546.527	972.562	1630.14	360.791	2008.43
A0A6B9RI88	A0A6B9RI88	A0A6B9RI88_HEV		Non-structural polyprotein pORF1				104.68	95.5331							
A0A7H0DN49;Q8V518	A0A212Q3Z9;A0A7H0DN49;G0XV71;G0XWF1;Q5IXW3;Q77DT7;Q8V518;F1DIR9;G0XX12	PG077_MONPV;PG077_MONPZ	OPG077	Telomere-binding protein OPG077				87.996								
A0A7H0DN62	A0A7H0DN62;M1LBN6;Q5IXV0;Q77DT5;Q77HN4;U5TCE5	RP07_MONPV	OPG090	DNA-directed RNA polymerase 7 kDa subunit							511.595	842.411		568.096		
A0A7H0DN90	A0A7H0DN90;A0A0F6N7N4;A0A1V0FXB3;A0A1X9T8Z8;A0A212PQ86;A0A212Q0R7;A0A212Q433;A0A2R8F8M7;A0A3Q9TD23;A0A650BU56;A0A7H0DLP7;A0A7H0DM78;F1DIW0;G0XSK6;G0XU34;G0XVB2;G0XVX8;G0XWJ2;Q0NPW5;Q3I8R1;Q5IXS2;Q76QJ5;Q8QMV4;Q8V4Y2;U5T9K9;U5TAT0;U5TC84;U5TM75;A0A2L0AQX3;A0A2L0ARC5	ETF1_MONPV	OPG118	Early transcription factor 70 kDa subunit		569.749							714.854	926.6		832.407
A0A7N9VSG0	A0A7N9VSG0;Q3TER3	AFG2B_MOUSE	Afg2b	ATPase family gene 2 protein homolog B	1360.63	587.883	3591.53	4802.7	4390.81	6784.34	5995.57	5407.66	4422.94	4071.05	3516.11	2284.71
A0A8I4SZH4;S4R1C4	S4R1C4;A0A8I4SZH4	A0A8I4SZH4_MOUSE;S4R1C4_MOUSE	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2 (Fragment)				419.488	886.128	492.503	558.582	289.233	657.98	509.2		
A0A8J2HRB1	A0A8J2HRB1	A0A8J2HRB1_COTCN	HICCMSTLAB_LOCUS13171	Similar to Rem1: GTP-binding protein REM 1 (Mus musculus) (Fragment)	1612.47		1186.67	3853.9	1252.04		1730.56	2916.16	1469.73	3082.52	1678.37	1031.57
A0A8J2MRI1	A0A8J2MRI1	A0A8J2MRI1_COTCN	HICCMSTLAB_LOCUS11587	Similar to Brip1: Fanconi anemia group J protein homolog (Mus musculus)			853.309	512.494	580.045							
A0A9L6KDT1;A4GZ26;D3Z5I6;E9QAD8	A4GZ26;A0A9L6KDT1;D3Z5I6;E9QAD8	A0A9L6KDT1_MOUSE;A4GZ26_MOUSE;D3Z5I6_MOUSE;E9QAD8_MOUSE	Iqsec2	IQ motif and Sec7 domain 2				161.114	110.546	142.651	272.712	260.73				
A0A9R1SP20;B9EIV5;Q3UH37;Q3UH69;Q6PD36	F8VQB8;H3BLN6;Q3UH37;Q3UH69;A0A9R1SP20;B9EIV5;Q6PD36	A0A9R1SP20_MOUSE;B9EIV5_MOUSE;Q3UH37_MOUSE;Q3UH69_MOUSE;Q6PD36_MOUSE	Nptxr	Neuronal pentraxin receptor	302.226	261.848		320.242	113.621		269.161	653.523	331.627	281.44	227.97	574.711
A0JLN1;A0PJ97;E9Q740;F8VQC1;Q3UU23;Q3UZL8	F8VQC1;A0JLN1;A0PJ97;E9Q740;Q3UU23;Q3UZL8	A0JLN1_MOUSE;A0PJ97_MOUSE;E9Q740_MOUSE;F8VQC1_MOUSE;Q3UU23_MOUSE;Q3UZL8_MOUSE	Srp72	Srp72 protein (Fragment)	572.294			251.485		170.143		446.859		187.757		297.875
A0JP43	A0JP43	EFCB5_MOUSE	Efcab5	EF-hand calcium-binding domain-containing protein 5	5847.44	8460.59		1105.36		1486.25	1855.75	3034.32	4033.12	1006	2457.21	2643.78
A0T1J8;B7ZN52;E9PYF4;E9PYI7;F6TFN2;F6VG99;Q6ZQ32	E9PYF4;A0T1J8;B7ZN52;E9PYI7;F6TFN2;F6VG99;Q6ZQ32	A0T1J8_MOUSE;B7ZN52_MOUSE;E9PYF4_MOUSE;E9PYI7_MOUSE;F6TFN2_MOUSE;F6VG99_MOUSE;Q6ZQ32_MOUSE	Lmo7	LIM domain only 7	512.338			208.022	209.514	205.047	268.148		284.739	647.32		507.351
A1L0X5;E9Q0F0;Q0VDM9;Q0VDN0;Q6IFT3	A1L0X5;E9Q0F0;Q0VDM9;Q0VDN0;Q6IFT3	A1L0X5_MOUSE;E9Q0F0_MOUSE;Q0VDM9_MOUSE;Q0VDN0_MOUSE;Q6IFT3_MOUSE	Krt78	Krt78 protein (Fragment)	5530.34	11333.9	31588.8	3513.33	7459.45	4004.78	8584.12	6598.37	17688.5	5527.78	5372.84	5459.43
A1L3P4	A1L3P4;B0QZV3;Q80U52;A0A140LJ55	SL9A6_MOUSE	Slc9a6	Sodium/hydrogen exchanger 6				411.627	352.966	506.362	673.64	612.871		338.567		355.303
A2A432	A2A432;Q3TCH7;E9PXY1;E9PXT5;J3QJX0;Q3TLY0;Q3UD60	CUL4B_MOUSE	Cul4b	Cullin-4B				283.513	201.604	149.931	98.99			253.814	111.649	432.283
A2A690	A2A690;F6VCI2;F6VP19	TANC2_MOUSE	Tanc2	Protein TANC2	1004.42	1280.71		1086.78	968.721	1913.23	1842.58	672.161	1367.03	1494.19	1382.32	1593.25
A2A8L1;Q6PDQ2	A2A8L1;B1AR17;Q6PDQ2;E9Q614;E9QAS5;F7C528;A0A5F8MQ82;E9PYL1;Q8K0T3;E9PYU4;E9QAS4;Q5DTP7;Q3UFM8;Q4QQN1;Q99JM0	CHD4_MOUSE;CHD5_MOUSE	Chd4;Chd5	Chromodomain-helicase-DNA-binding protein 5	1085.8	683.162		241.99		305.717		636.869	597.159		447.785	1201.45
A2A8Z1	A2A8Z1;A0A0A6YXH3;A0A1S6GWJ0;E9PXZ2;E9Q6C1;F6UHR6;Q5FWX7;Q8R0G3	OSBL9_MOUSE	Osbpl9	Oxysterol-binding protein-related protein 9				180.998		171.566				172.933		
A2AB59	A2AB59;Q3UNZ6	RHG27_MOUSE	Arhgap27	Rho GTPase-activating protein 27				623.715	768.381		345.894			264.835		
A2ADY9	A2ADY9	DDI2_MOUSE	Ddi2	Protein DDI1 homolog 2	1303.41			388.132	392.65	443.039	646.732	410.503		533.142	595.47	228.781
A2AFQ2;Q99N15;Q9CYT3	A2AFQ2;Q99N15;Q9CYT3	A2AFQ2_MOUSE;Q99N15_MOUSE;Q9CYT3_MOUSE	Hsd17b10	Hydroxysteroid (17-beta) dehydrogenase 10	2249.26	1506.14	4372.64	2507.65	2887.86	2406.81	3258.47	1711.73	2371.18	2407.52	2796.26	1946.45
A2AGT5	A2AGT5;K3W4R5;A0A0R4J0K2;Q4V782;Q6PB55;Q80U79;Q8K250;Z4YL78	CKAP5_MOUSE	Ckap5	Cytoskeleton-associated protein 5	1914.76	1876.72		446.625	562.479	558.973	487.467	802.296	1346.82	744.466	1205.98	1527.52
A2AJI0	A2AJI0;A2AJI1;A8Y5P4;F6WF36	MA7D1_MOUSE	Map7d1	MAP7 domain-containing protein 1	481.85			560.287	565.145	632.648	302.48	915.109	858.453	464.131	649.287	640.358
A2AKD7;Q3UVD6	A2AKD7;Q3UVD6	A2AKD7_MOUSE;Q3UVD6_MOUSE	Snta1	Syntrophin, acidic 1	640.78			391.93	586.515	886.155	1290.89		873.01	722.029	399.493	1120.17
A2ALL9;Q0VF54	A2ALL9;Q0VF54	A2ALL9_MOUSE;Q0VF54_MOUSE	Atp2b3	Calcium-transporting ATPase				1031.79	839.306	1100.24	1283.53	1355.74	2068.57	515.55	434.136	778.741
A2ALS5	A2ALS5;A2ALS4;A2ALS7	RPGP1_MOUSE	Rap1gap	Rap1 GTPase-activating protein 1	1539.84		5436.61	1267.84	1833.72	1383.83	1644.16	1650.11	1541.37	1859.27	1940.11	1977.01
